# Rucni usudek nad priority_ideas.csv. Joinuje se pres row_id.
# Nic tady neni v PDF -- je to rozhodnuti cloveka, ktere lze prepsat, kdyz se
# ukaze spatne. Proto je to zvlast od doslovneho prepisu.
#
# instrument   LONG_EQUITY | SHORT_EQUITY | ETF_HEDGE | OPTION | BASKET
# exit_kind    DECISION | BATCH | STILL_OPEN | DELISTED | ACQUIRED | UNKNOWN
#              BATCH = uzavreno v den, kdy se zaviralo 4+ nesouvisejicich jmen.
#              Je to tvrzeni o DATU, ne o duvodu -- radek muze byt BATCH a pritom
#              nest vlastni stanoveny duvod (napr. 218, 223 dne 2025-01-03).
# exit_reason  RR_PRAVIDLO | ALERT | TEZE_SE_ZLOMILA | GRADUACE | AKVIZICE |
#              WAIT_TIME | ZTRATA_ZAJMU | UKLID | UNKNOWN
#              Kodovano JEN tam, kde poznamka vystup verohodne popisuje.
#              LATEST NOTES je posledni poznamka, ne poznamka pri vystupu --
#              nekolik radku nese komentar datovany roky po uzavreni.
#              Prazdne = radek nema vystup (STILL_OPEN).
# duplicate_of row_id radku, ktery tenhle duplikuje. Prazdne = neni duplikat.
row_id,ticker,instrument,exit_kind,exit_reason,duplicate_of,label_note
1,FB,LONG_EQUITY,DECISION,UNKNOWN,,
2,LGF,LONG_EQUITY,DECISION,UNKNOWN,,
3,GLUU,LONG_EQUITY,BATCH,UNKNOWN,,
4,MATR,LONG_EQUITY,DECISION,UKLID,,"2017-09-19 zavrelo 5 radku, ale ctyri z nich jsou zavreni dvojitych zalozek (dvakrat MATR, USAT a HMNY maji doslova ""Closing the double bookmark""). Neni to uklid portfolia, je to uklid listu -- proto DECISION a UKLID, ne BATCH."
5,AERO,LONG_EQUITY,BATCH,UNKNOWN,,
6,AMBR,SHORT_EQUITY,BATCH,UNKNOWN,,
7,NOW,LONG_EQUITY,DECISION,UNKNOWN,,
8,ZDPY,SHORT_EQUITY,BATCH,UNKNOWN,,"konopny shortovy kos, cely zavren 2015-06-10"
9,MDBX,SHORT_EQUITY,BATCH,UNKNOWN,,
10,CANV,SHORT_EQUITY,BATCH,UNKNOWN,,
11,CBCA,SHORT_EQUITY,BATCH,UNKNOWN,,
12,CANN,SHORT_EQUITY,BATCH,UNKNOWN,,
13,CARA,SHORT_EQUITY,BATCH,UNKNOWN,,
14,CBDS,SHORT_EQUITY,BATCH,UNKNOWN,,
15,MYHI,SHORT_EQUITY,BATCH,UNKNOWN,,
16,MJNE,SHORT_EQUITY,BATCH,UNKNOWN,,
17,FSPM,SHORT_EQUITY,BATCH,UNKNOWN,,
18,RNWK,SHORT_EQUITY,BATCH,UNKNOWN,,
19,GSAT,SHORT_EQUITY,BATCH,UNKNOWN,,
20,JAKK,LONG_EQUITY,DECISION,UNKNOWN,,
21,TUES,SHORT_EQUITY,BATCH,UNKNOWN,,
22,MCZ,LONG_EQUITY,BATCH,UNKNOWN,,
23,PXLW,SHORT_EQUITY,BATCH,UNKNOWN,,
24,KING,SHORT_EQUITY,BATCH,UNKNOWN,,
25,DWCH,SHORT_EQUITY,BATCH,UNKNOWN,,
26,IBM,LONG_EQUITY,BATCH,UNKNOWN,,
27,MSTR,LONG_EQUITY,BATCH,UNKNOWN,,
28,DATA,LONG_EQUITY,BATCH,UNKNOWN,,
29,CSOD,LONG_EQUITY,BATCH,UNKNOWN,,
30,RNDY,LONG_EQUITY,BATCH,UNKNOWN,,
31,DORM,SHORT_EQUITY,DECISION,UNKNOWN,,
32,FARM,SHORT_EQUITY,DECISION,UNKNOWN,,
