row_id,ticker,company,entry_date,exit_date,era,instrument,exit_kind,exit_reason,sheet_return_pct,reconciled,note
109,AEHR,Aehr Test Systems,2017-09-29,2021-08-17,LONG_MICROCAP_2017_2018,LONG_EQUITY,DECISION,UNKNOWN,34.0,0,Opened a new AEHR position in July 2021 !!
112,AEHR,Aehr Test Systems #2,2017-10-06,2018-11-21,LONG_MICROCAP_2017_2018,LONG_EQUITY,DECISION,UNKNOWN,-46.0,0,12/1/17: AEHR @ investor conf next week; We'll meet after.
187,AEHR,Aehr Test Systems,2021-07-19,2021-09-24,MODERN_LONG,LONG_EQUITY,DECISION,RR_PRAVIDLO,318.0,1,Email @ 12:35PM... R/R @ 12-15 (13.50)... back in @ 13
188,AEHR,Aehr Test Systems,2021-10-04,2021-12-27,MODERN_LONG,LONG_EQUITY,DECISION,UNKNOWN,76.0,1,See entry above.
5,AERO,AeroGrow,2014-05-14,2016-04-25,SHORT_BOOK_2014_2016,LONG_EQUITY,BATCH,UNKNOWN,-55.0,0,
212,ALAR,Alarum,2024-04-17,2024-06-27,MODERN_LONG,LONG_EQUITY,DECISION,ZTRATA_ZAJMU,90.0,1,6/27/24 -- No longer interested until further notice.
217,ALAR,Alarum #2 (Trade),2024-06-18,2024-06-27,MODERN_LONG,LONG_EQUITY,DECISION,ZTRATA_ZAJMU,39.0,1,6/27/24 -- No longer interested until further notice.
6,AMBR,Amber Road Inc.,2014-05-29,2015-06-22,SHORT_BOOK_2014_2016,SHORT_EQUITY,BATCH,UNKNOWN,43.0,0,
181,AMC,AMC Entertainment,2021-02-03,2021-02-09,MODERN_LONG,SHORT_EQUITY,DECISION,UNKNOWN,32.0,0,Open 3:30PM
87,ANGI,Angie's List,2016-12-29,2017-03-03,SHORT_BOOK_2014_2016,SHORT_EQUITY,DECISION,TEZE_SE_ZLOMILA,33.0,0,"Couldn't survive alone, but M&A became a risk."
74,APOG,Apogee,2016-04-28,2017-10-11,SHORT_BOOK_2014_2016,SHORT_EQUITY,BATCH,UNKNOWN,-15.0,0,
167,APT,Alpha Pro Tech,2020-05-11,2021-07-19,DAYTRADE_2019_2020,LONG_EQUITY,DECISION,RR_PRAVIDLO,-22.0,1,Open 2:38PM / Took profits (R/R) @20 ! / Closed 3:59PM
172,APVO,Aptevo Therapeutics,2020-11-05,2020-11-23,DAYTRADE_2019_2020,SHORT_EQUITY,DECISION,UNKNOWN,-83.0,0,Open 1:13PM / Closed 11:00AM
138,ATAI,Ata Inc.,2019-04-10,2019-04-11,DAYTRADE_2019_2020,SHORT_EQUITY,DECISION,UNKNOWN,24.0,0,
204,ATGN,Altigen,2023-08-11,2025-01-03,MODERN_LONG,LONG_EQUITY,BATCH,UNKNOWN,-15.0,1,Via StockTwits after my LIVE (3:58PM)
210,ATGN,Altigen #2,2024-03-15,2025-01-03,MODERN_LONG,LONG_EQUITY,BATCH,UNKNOWN,-7.0,1,Via Stock Talk LIVE @ 2:20PM
80,BETR,Amplify Brands,2016-04-28,2017-03-06,SHORT_BOOK_2014_2016,SHORT_EQUITY,DECISION,UNKNOWN,40.0,0,
48,BGS,B&G Foods,2015-03-05,2015-06-22,SHORT_BOOK_2014_2016,SHORT_EQUITY,BATCH,UNKNOWN,-5.0,0,
34,BKS,Barnes & Noble,2014-09-11,2016-04-25,SHORT_BOOK_2014_2016,SHORT_EQUITY,BATCH,UNKNOWN,22.0,0,
150,BNGO,Bionano Genomics,2019-10-22,2019-12-14,DAYTRADE_2019_2020,SHORT_EQUITY,DECISION,UNKNOWN,29.0,0,
131,BOXL,Boxlight,2019-03-04,2019-04-01,DAYTRADE_2019_2020,SHORT_EQUITY,DECISION,UNKNOWN,-12.0,0,
132,BPTH,Biopath,2019-03-06,2019-04-08,DAYTRADE_2019_2020,SHORT_EQUITY,DECISION,UNKNOWN,-22.0,0,
135,BPTH,Biopath #2,2019-03-07,2019-03-27,DAYTRADE_2019_2020,SHORT_EQUITY,BATCH,UNKNOWN,65.0,0,
77,BRCD,Brocade,2016-04-28,2017-05-12,SHORT_BOOK_2014_2016,SHORT_EQUITY,BATCH,UNKNOWN,-28.0,0,
140,BYND,Beyond Meat,2019-05-29,2019-10-29,DAYTRADE_2019_2020,SHORT_EQUITY,DECISION,UNKNOWN,33.0,0,
33,CALL,VocalTec,2014-09-11,2015-06-22,SHORT_BOOK_2014_2016,SHORT_EQUITY,BATCH,UNKNOWN,32.0,0,
54,CALM,Cal-Maine Foods,2015-05-14,2016-04-25,SHORT_BOOK_2014_2016,LONG_EQUITY,BATCH,UNKNOWN,-9.0,1,
90,CALM,Cal-Maine Foods,2017-02-10,2017-04-03,LONG_MICROCAP_2017_2018,LONG_EQUITY,DECISION,ZTRATA_ZAJMU,-9.0,1,LOVE this company. Will reinitiate interest... at some point
163,CALM,Cal-Maine Foods,2020-04-13,2020-05-27,DAYTRADE_2019_2020,LONG_EQUITY,DECISION,UNKNOWN,13.0,1,Open 11:27AM / Close 3:15PM
12,CANN,Advanced Cannabis,2014-06-05,2015-06-10,SHORT_BOOK_2014_2016,SHORT_EQUITY,BATCH,UNKNOWN,88.0,0,
10,CANV,Cannavest Corp,2014-06-05,2015-06-10,SHORT_BOOK_2014_2016,SHORT_EQUITY,BATCH,UNKNOWN,94.0,0,
13,CARA,Cara Therapeutics,2014-06-05,2015-06-10,SHORT_BOOK_2014_2016,SHORT_EQUITY,BATCH,UNKNOWN,42.0,0,
11,CBCA,Cannabis Capital,2014-06-05,2015-06-10,SHORT_BOOK_2014_2016,SHORT_EQUITY,BATCH,UNKNOWN,99.0,0,
14,CBDS,Cannabis Sativa,2014-06-05,2015-06-10,SHORT_BOOK_2014_2016,SHORT_EQUITY,BATCH,UNKNOWN,56.0,0,
